iter,train_loss,valid_loss,test_loss
0,31.5961,36.3191,34.415
10,5.4378,7.3512,6.7454
20,4.2068,3.4149,3.2739
30,1.858,2.6178,2.4308
40,1.763,2.4354,2.2849
50,1.633,1.8608,1.7266
60,1.6584,1.8543,1.6935
70,1.6074,1.8963,1.7441
80,1.5942,1.9393,1.7819
90,1.5927,1.951,1.7893
100,1.5927,1.9464,1.7873
110,1.593,1.9412,1.7814
120,1.5931,1.9372,1.7773
130,1.5929,1.9341,1.7752
140,1.5924,1.9323,1.7729
150,1.5916,1.9306,1.7713
160,1.5903,1.929,1.7699
170,1.5883,1.9274,1.7684
180,1.5854,1.9255,1.7665
190,1.5807,1.9224,1.7635
200,1.5727,1.9167,1.7579
210,1.5573,1.9047,1.7459
220,1.5222,1.8753,1.7162
230,1.4243,1.7903,1.6292
240,1.2149,1.5937,1.425
250,1.1913,1.5611,1.4133
260,1.1582,1.5287,1.3929
270,1.1203,1.4922,1.3741
280,1.0817,1.453,1.3543
290,1.0343,1.4142,1.3196
300,0.9715,1.3625,1.2677
310,0.8841,1.2897,1.1862
320,0.765,1.1807,1.0587
330,0.6208,1.0352,0.8814
340,0.481,0.885,0.6902
350,0.3759,0.7699,0.5375
360,0.3091,0.6971,0.4377
370,0.2688,0.6535,0.3768
380,0.2443,0.6268,0.3388
390,0.2288,0.6097,0.3132
400,0.2182,0.5981,0.2944
410,0.2104,0.5899,0.2799
420,0.2043,0.5864,0.2682
430,0.2992,0.8706,0.3311
440,0.2219,0.6976,0.2671
450,0.1935,0.5725,0.252
460,0.1941,0.5363,0.2558
470,0.1896,0.5431,0.2471
480,0.1862,0.5487,0.24
490,0.1838,0.5474,0.2352
500,0.1815,0.5464,0.2309
510,0.1793,0.5481,0.2266
520,0.1773,0.5413,0.2236
530,0.1752,0.5341,0.2206
540,0.173,0.5276,0.2173
550,0.1707,0.5201,0.2139
560,0.1682,0.5096,0.2104
570,0.1653,0.4979,0.2062
580,0.1619,0.483,0.2012
590,0.1576,0.4642,0.1948
600,0.1521,0.4398,0.1861
610,0.1448,0.4083,0.1742
620,0.1356,0.3699,0.1583
630,0.1258,0.3317,0.1416
640,0.1183,0.3084,0.1325
650,0.1136,0.2971,0.1318
660,0.1088,0.2798,0.1271
670,0.1044,0.265,0.1246
680,0.0999,0.2491,0.1217
690,0.0955,0.2342,0.1189
700,0.0926,0.2139,0.1135
710,0.0958,0.2356,0.129
720,0.0883,0.1907,0.1102
730,0.0848,0.1963,0.113
740,0.0825,0.1884,0.1108
750,0.0806,0.1808,0.1085
760,0.079,0.1778,0.1081
770,0.0776,0.1721,0.1066
780,0.0763,0.1673,0.1056
790,0.0752,0.1633,0.1048
800,0.0741,0.1597,0.1043
810,0.0731,0.1554,0.1034
820,0.0722,0.1516,0.1027
830,0.0714,0.1481,0.102
840,0.0706,0.1448,0.1014
850,0.0699,0.1417,0.1007
860,0.0692,0.1387,0.1001
870,0.0686,0.1358,0.0994
880,0.068,0.1332,0.0988
890,0.0675,0.1307,0.0982
900,0.067,0.1283,0.0977
910,0.0665,0.1261,0.0971
920,0.0661,0.1241,0.0966
930,0.0657,0.1221,0.096
940,0.0653,0.1203,0.0955
950,0.0649,0.1186,0.095
960,0.0646,0.117,0.0945
970,0.0643,0.1155,0.094
980,0.064,0.114,0.0935
990,0.0637,0.1127,0.093
1000,0.0634,0.1114,0.0926
1010,0.0631,0.1103,0.0921
1020,0.0629,0.1091,0.0917
1030,0.0626,0.1081,0.0912
1040,0.0624,0.1071,0.0908
1050,0.0622,0.1061,0.0904
1060,0.062,0.1052,0.09
1070,0.0618,0.1044,0.0896
1080,0.0616,0.1036,0.0892
1090,0.0614,0.103,0.0888
1100,0.0613,0.1027,0.0886
1110,0.0612,0.1028,0.0887
1120,0.0609,0.1004,0.0875
1130,0.0608,0.1002,0.0873
1140,0.0606,0.0997,0.087
1150,0.0605,0.0989,0.0865
1160,0.0604,0.0986,0.0863
1170,0.0602,0.0979,0.0859
