iter,train_loss,test_loss,adapt_train,adapt_test
0,8.5642,8.6192,7.1135,7.4211
1,8.5184,8.5735,7.0725,7.3795
2,8.4356,8.4879,6.9968,7.302
3,8.2279,8.2659,6.8036,7.1018
4,7.6025,7.5982,6.228,6.5059
5,5.6236,5.7193,4.5863,4.947
6,61.5291,102.4751,73.8167,105.0587
7,4.8235,5.1778,4.1594,4.6131
8,6.2701,6.3157,5.1007,5.3798
9,6.8941,6.9543,5.6304,5.9283
10,7.2153,7.2806,5.9105,6.2143
11,7.4076,7.4744,6.0795,6.3851
12,7.5305,7.5979,6.1876,6.4939
13,7.611,7.6786,6.2582,6.5648
14,7.6632,7.7311,6.3037,6.6104
15,7.6957,7.7638,6.3313,6.638
16,7.7134,7.7817,6.3457,6.6525
17,7.7198,7.7884,6.3498,6.6566
18,7.7171,7.7862,6.3457,6.6525
19,7.7072,7.7767,6.3349,6.6418
20,7.6913,7.7612,6.3186,6.6256
21,7.6703,7.7409,6.2976,6.6048
22,7.6451,7.7163,6.2727,6.5802
23,7.6164,7.6883,6.2446,6.5523
24,7.5848,7.6575,6.2137,6.5217
25,7.5507,7.6242,6.1805,6.4889
26,7.5146,7.5889,6.1455,6.4543
27,7.4768,7.5519,6.109,6.4181
28,7.4376,7.5135,6.0711,6.3807
29,7.3971,7.4739,6.0322,6.3421
30,7.3553,7.433,5.9923,6.3026
31,7.3124,7.391,5.9515,6.2621
32,7.2682,7.3477,5.9096,6.2206
33,7.2225,7.303,5.8667,6.178
34,7.1752,7.2568,5.8226,6.1341
35,7.1259,7.2086,5.777,6.0887
36,7.0743,7.1582,5.7296,6.0415
37,7.0199,7.1051,5.6801,5.9921
38,6.9621,7.0488,5.6281,5.9401
39,6.9002,6.9886,5.573,5.8848
40,6.8335,6.9237,5.5141,5.8258
41,6.7609,6.8532,5.4508,5.7622
42,6.6814,6.7761,5.3823,5.6931
43,6.5936,6.6911,5.3075,5.6176
44,6.4961,6.5967,5.2254,5.5346
45,6.3869,6.4913,5.1347,5.4427
46,6.2642,6.373,5.0341,5.3405
47,6.1256,6.2396,4.9221,5.2264
48,5.9687,6.0889,4.7973,5.099
49,5.7908,5.9184,4.6583,4.9567
50,5.5893,5.7258,4.5038,4.798
51,5.3619,5.509,4.3332,4.6222
52,5.107,5.2669,4.1467,4.4293
53,4.8243,4.9994,3.9458,4.2207
54,4.5156,4.7089,3.7348,4.0002
55,4.1861,4.4007,3.5208,3.7748
56,3.8452,4.0848,3.3157,3.5558
57,3.5086,3.7769,3.1364,3.3602
58,3.1988,3.4995,3.0061,3.2109
59,2.9455,3.282,2.9519,3.1355
60,2.7821,3.1566,3.0006,3.1618
61,2.7355,3.1483,3.1661,3.3049
62,2.7936,3.2417,3.4103,3.5301
63,2.9109,3.3853,3.6666,3.7753
64,3.0355,3.525,3.8398,3.9728
65,2.9913,3.4743,3.76,3.9047
66,2.8344,3.299,3.529,3.6644
67,2.6489,3.0888,3.2042,3.3571
68,2.5111,2.9233,2.8925,3.0753
69,2.4635,2.8496,2.7239,2.8825
70,2.4924,2.8599,2.6469,2.797
71,2.5295,2.8886,2.6137,2.774
72,2.5253,2.8834,2.5999,2.7637
73,2.4787,2.8437,2.5887,2.7541
74,2.4152,2.7929,2.5637,2.7603
75,2.3682,2.7623,2.5208,2.8047
76,2.3612,2.7722,2.6408,2.8933
77,2.3833,2.808,2.756,2.9917
78,2.396,2.8277,2.8056,3.042
79,2.3746,2.8057,2.761,3.0146
80,2.326,2.7498,2.623,2.9228
81,2.2782,2.6902,2.4924,2.808
82,2.2546,2.6531,2.5536,2.7108
83,2.2543,2.6417,2.5012,2.6505
84,2.2551,2.6383,2.5783,2.6222
85,2.2396,2.6251,2.4128,2.6066
86,2.2092,2.5997,2.4161,2.6025
87,2.1702,2.5701,2.4412,2.6148
88,2.1377,2.5481,2.6673,2.65
89,2.1215,2.5452,2.6206,2.6985
90,2.1115,2.5432,2.6055,2.7319
91,2.0865,2.5177,2.6398,2.7096
92,2.0431,2.4676,2.3752,2.6187
93,2.0096,2.4242,2.2456,2.5091
94,1.9977,2.3995,2.1516,2.4253
95,1.9854,2.3833,2.1066,2.3846
96,1.953,2.3564,2.1034,2.3817
97,1.9211,2.3409,2.1551,2.4364
98,1.9165,2.3541,2.2299,2.5122
99,1.9048,2.3485,2.2331,2.5188
100,1.8832,2.3126,2.1501,2.4431
101,1.8731,2.2887,2.0563,2.3549
102,1.8786,2.2867,2.0179,2.319
103,1.8685,2.2795,2.026,2.323
